,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Broad_Type,nearest_station,Station_Lat,Station_Long,violence_score,top_crimes
1060,8246804,HT463926,08/24/2011 04:50:00 PM,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,1114,11,28,26,11,1149512.0,1901446.0,2011,02/10/2018 03:50:01 PM,41.885487535,-87.726422045,"(41.885487535, -87.726422045)",non-violent,Damen (Brown Line),41.966286,-87.678639,0.0,
1061,8229993,HT464155,08/24/2011 07:40:00 PM,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,1832,18,42,8,11,1176223.0,1905805.0,2011,02/10/2018 03:50:01 PM,41.896888586,-87.628203192,"(41.896888586, -87.628203192)",non-violent,Wellington (Brown & Purple lines),41.936033,-87.653266,0.04891304347826087,
1062,8230005,HT464123,08/24/2011 07:45:00 PM,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,1832,18,42,8,11,1176223.0,1905805.0,2011,02/10/2018 03:50:01 PM,41.896888586,-87.628203192,"(41.896888586, -87.628203192)",non-violent,Wellington (Brown & Purple lines),41.936033,-87.653266,0.04891304347826087,
1063,8230159,HT464365,08/24/2011 10:10:00 PM,0000X E ROOSEVELT RD,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,132,1,2,32,11,1176818.0,1895074.0,2011,02/10/2018 03:50:01 PM,41.867428687,-87.626342565,"(41.867428687, -87.626342565)",non-violent,Addison (Red Line),41.947428,-87.653626,0.2608695652173913,
1064,8230225,HT464446,08/24/2011 11:15:00 PM,040XX W LAKE ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,CTA PLATFORM,True,False,1114,11,28,26,24,1149512.0,1901446.0,2011,02/10/2018 03:50:01 PM,41.885487535,-87.726422045,"(41.885487535, -87.726422045)",non-violent,Damen (Brown Line),41.966286,-87.678639,0.0,
1065,8230446,HT464536,08/25/2011 01:00:00 AM,012XX S STATE ST,0320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,False,False,132,1,2,33,03,1176526.0,1894914.0,2011,02/10/2018 03:50:01 PM,41.866996231,-87.62741936,"(41.866996231, -87.62741936)",property,95th/Dan Ryan (Red Line),41.722377,-87.624342,0.1743119266055046,
1066,8233069,HT464623,08/25/2011 03:30:00 AM,041XX W IRVING PARK RD,0820,THEFT,$500 AND UNDER,CTA PLATFORM,False,False,1732,17,39,16,06,1148252.0,1926266.0,2011,02/10/2018 03:50:01 PM,41.953620328,-87.730408248,"(41.953620328, -87.730408248)",property,18th (Pink Line),41.857908,-87.669147,0.5,
1067,8231024,HT465013,08/25/2011 11:34:00 AM,001XX W CERMAK RD,0820,THEFT,$500 AND UNDER,CTA PLATFORM,False,False,2111,9,25,34,06,1175616.0,1889758.0,2011,02/10/2018 03:50:01 PM,41.852868298,-87.63091491,"(41.852868298, -87.63091491)",property,Chicago (Blue Line),41.896075,-87.655214,0.07142857142857142,
1068,8231581,HT465345,08/25/2011 12:30:00 PM,0000X W CHICAGO AVE,0870,THEFT,POCKET-PICKING,CTA PLATFORM,False,False,1832,18,42,8,06,1176117.0,1905725.0,2011,02/10/2018 03:50:01 PM,41.896671452,-87.628594922,"(41.896671452, -87.628594922)",property,Wellington (Brown & Purple lines),41.936033,-87.653266,0.04891304347826087,
1069,8232860,HT466708,08/25/2011 04:45:00 PM,002XX N STATE ST,0870,THEFT,POCKET-PICKING,CTA PLATFORM,False,False,122,1,42,32,06,1176327.0,1901797.0,2011,02/10/2018 03:50:01 PM,41.885888079,-87.627942238,"(41.885888079, -87.627942238)",property,Kedzie (Orange Line),41.804236,-87.704406,0.125,
